title,image,description
Le studio de jeux vidéo Quantic Dream condamné aux prud’hommes pour des photomontages,https://img.lemde.fr/2019/12/02/29/0/688/458/110/74/60/0/273d59b_oSdJrLXRXM7B8xYcYcV9y37U.jpeg,
Un spécialiste des cryptomonnaies arrêté aux Etats-Unis pour une conférence à Pyongyang,https://img.lemde.fr/2019/07/25/0/6/3487/2325/110/74/60/0/ce7f45e_KCC501_NORTHKOREA-ECONOMY-GDP_0725_11.JPG,
"Les questions que pose Health Data Hub, la plate-forme qui centralisera des données de santé sous l’égide de Microsoft",https://img.lemde.fr/2019/12/02/183/318/1702/1135/110/74/60/0/7b39491_M4-PjBk1L2xq18oByf-HcuN5.jpg,
La drôle de guerre des GAFA,https://img.lemde.fr/2019/11/29/0/0/3000/2000/110/74/60/0/d8d9864_pEQWYrlfIDPQvL7-gGt_Vvev.jpg,
"En Chine, le duel Alibaba-Tencent écrase l’Internet",https://img.lemde.fr/2019/11/26/0/0/5386/3591/110/74/60/0/510b531_a2ec720fc83f4aac84cff63ebf3d05c8-a2ec720fc83f4aac84cff63ebf3d05c8-0.jpg,
Margaret O’Mara: « Les vieilles habitudes des GAFA n’ont pas disparu »,https://img.lemde.fr/2019/10/21/0/0/5412/3608/110/74/60/0/b7fd8b3_seik7BzVefRynkqE0bDr3gkw.jpg,
"« Les données numériques des usagers, tout comme leur créativité, sont volées »",https://img.lemde.fr/2019/12/02/1022/0/4252/2830/110/74/60/0/bad3405_IDB3XaQbAquewY-gTZk9HwEo.jpg,
Faut-il se passer de la 5G ?,https://img.lemde.fr/2019/10/03/0/0/2362/1574/110/74/60/0/c86a00b_BA-29l-5e1blHY-2Qh-weyv-.jpg,
« Il faut s’accrocher mais ça vaut le coup » : rencontre avec les Français de l’animation japonaise,https://img.lemde.fr/2019/11/26/27/0/640/426/110/74/60/0/873c529_OTaAmG7GDWRp3uyrbQ1sxj-i.JPG,
L’AFD débloque 15 millions d’euros pour financer les start-up africaines,https://img.lemde.fr/2019/12/04/13/0/6330/4220/110/74/60/0/9a26911_VKrsfwzE85SPAlN9Ja2snBLj.jpg,
"Un ministre algérien traite les opposants de « mercenaires, pervers et homosexuels »",https://img.lemde.fr/2019/11/22/0/0/4896/3264/110/74/60/0/4ec88fe_a04c813c6fd044449533382fd0d4c498-a04c813c6fd044449533382fd0d4c498-0.jpg,
Comment la Russie avance ses pions en Afrique,https://img.lemde.fr/2019/12/03/0/150/1620/1080/110/74/60/0/5968d8a_wWM_X5iSMGCUWaT37Yq3e-dY.png,
"Gabon : arrestation de Brice Laccruche Alihanga, l’ex-tout-puissant directeur de cabinet d’Ali Bongo",https://img.lemde.fr/2019/12/03/354/774/1225/816/110/74/60/0/9e28a2f_eWlLNOTV0eUCYLFKQPEQbFw7.jpg,
Ces chansons qui nous rassemblent,https://img.lemde.fr/2019/11/25/44/0/2244/1495/110/74/60/0/2010d40_eD2SCo4GEp2lEXhNE4-aPtCf.jpg,
"Rym Kefi, la Tunisienne qui conjugue la génétique à tous les temps",https://img.lemde.fr/2019/11/25/720/0/3120/2075/110/74/60/0/751b799_HZECtbyUDbMhRWlZUTxPQ2Z0.jpg,
